Id,Speechiness,Liveness,Energy,Danceability,Instrumentalness,Loudness,Tempo,Name,Id
0vkjPQ4zBBXcN2tpGTpKBv,"0,043","0,347","0,869","0,659","1,62E-06","-5,092","103,92",Forró Pesado,0vkjPQ4zBBXcN2tpGTpKBv
0QsyU1MyMP67rtllFm12td,"0,0345","0,296","0,655","0,58",0,"-6,249","79,905",Forró e Paixão,0QsyU1MyMP67rtllFm12td
0QsyU1MyMP67rtllFm12td,"0,0345","0,296","0,655","0,58",0,"-6,249","79,905",Forró e Paixão,0QsyU1MyMP67rtllFm12td
07NAYx3UuWYtW7cAT6e8Rt,"0,029","0,0707","0,741","0,551","0,00603","-4,245","79,984",Tidal Wave,07NAYx3UuWYtW7cAT6e8Rt
6jdNquu4FEYKXFERwKqILp,"0,0411","0,34","0,932","0,597",0,"-2,463","111,01",Chicken Bone,6jdNquu4FEYKXFERwKqILp
6jdNquu4FEYKXFERwKqILp,"0,0411","0,34","0,932","0,597",0,"-2,463","111,01",Chicken Bone,6jdNquu4FEYKXFERwKqILp
4ya6kBUnCe27g0hZM57L1n,"0,0473","0,324","0,694","0,528",0,"-7,956","130,006","Four Out Of Five - Recorded at Electric Lady Studios, New York",4ya6kBUnCe27g0hZM57L1n
1BHuqBlRXw9MC1scsNCdXS,"0,182","0,0722","0,982","0,486","0,00221","-3,418","115,023",Bullet To The Brain,1BHuqBlRXw9MC1scsNCdXS
51TG9W3y9qyO8BY5RXKgnZ,"0,0587","0,0657","0,891","0,61","0,0928","-5,452","139,903",Symphony Of Destruction - 2004 Digital Remaster,51TG9W3y9qyO8BY5RXKgnZ
5QTxFnGygVM4jFQiBovmRo,"0,0733","0,297","0,927","0,333","0,000211","-8,55","141,47",(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo
4iWYPj04kHXcZK0st5yzZf,"0,0682","0,0804","0,633","0,532",0,"-5,106","164,13",Courtesy Call,4iWYPj04kHXcZK0st5yzZf
67xazpRk0c0JXNbOx8MkJD,"0,0511","0,0913","0,704","0,326","6,87E-05","-8,507","180,365",Three Women,67xazpRk0c0JXNbOx8MkJD
6EThJr4Dq1Y93JspecGU2F,"0,0259","0,0812","0,677","0,637",0,"-3,421","113,956",Cigarette Daydreams,6EThJr4Dq1Y93JspecGU2F
3kdMzXOcrDIdSWLdONHNK5,"0,0693","0,22","0,549","0,358","0,00503","-7,843","130,733",The Sky Is A Neighborhood,3kdMzXOcrDIdSWLdONHNK5
5ZISTTuh3YIBtYsCvBKk5w,"0,142","0,187","0,947","0,28","0,000659","-3,461","90,149",Torture Me,5ZISTTuh3YIBtYsCvBKk5w
0pqnGHJpmpxLKifKRmU6WP,"0,128","0,081","0,78","0,776",0,"-4,374","124,949",Believer,0pqnGHJpmpxLKifKRmU6WP
6EThJr4Dq1Y93JspecGU2F,"0,0259","0,0812","0,677","0,637",0,"-3,421","113,956",Cigarette Daydreams,6EThJr4Dq1Y93JspecGU2F
6EThJr4Dq1Y93JspecGU2F,"0,0259","0,0812","0,677","0,637",0,"-3,421","113,956",Cigarette Daydreams,6EThJr4Dq1Y93JspecGU2F
3kdMzXOcrDIdSWLdONHNK5,"0,0693","0,22","0,549","0,358","0,00503","-7,843","130,733",The Sky Is A Neighborhood,3kdMzXOcrDIdSWLdONHNK5
5ZISTTuh3YIBtYsCvBKk5w,"0,142","0,187","0,947","0,28","0,000659","-3,461","90,149",Torture Me,5ZISTTuh3YIBtYsCvBKk5w
0pqnGHJpmpxLKifKRmU6WP,"0,128","0,081","0,78","0,776",0,"-4,374","124,949",Believer,0pqnGHJpmpxLKifKRmU6WP
0pqnGHJpmpxLKifKRmU6WP,"0,128","0,081","0,78","0,776",0,"-4,374","124,949",Believer,0pqnGHJpmpxLKifKRmU6WP
5FZxsHWIvUsmSK1IAvm2pp,"0,0696","0,188","0,94","0,366","9,42E-05","-5,119","130,198",Best of You,5FZxsHWIvUsmSK1IAvm2pp
2LskIZrCeLxRvCiGP8gxlh,"0,0424","0,126","0,724","0,694","2,02E-06","-5,45","104,943",Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh
