"artist","id","speechiness","liveness","energy","danceability","instrumentalness","loudness","tempo","song_title"
"Future",0,"0.431","0.165","0.434","0.833","0.0219","-8.795","150.062","Mask Off"
"Childish Gambino",1,"0.0794","0.137","0.359","0.743","0.00611","-10.401","160.083","Redbone"
"Future",2,"0.289","0.159","0.412","0.838","0.000234","-7.148","75.044","Xanny Family"
"Beach House",3,"0.0261","0.0922","0.338","0.494","0.51","-15.236","86.468","Master Of None"
"Junior Boys",4,"0.0694","0.439","0.561","0.678","0.512","-11.648","174.004","Parallel Lines"
"Drake",5,"0.185","0.164","0.56","0.804",0,"-6.682","85.023","Sneakin’"
"Drake",6,"0.156","0.207","0.472","0.739","7.27E-06","-11.204","80.03","Childs Play"
"Omega",7,"0.0371","0.16","0.348","0.266","0.664","-11.609","144.154","Gyöngyhajú lány"
"Death Grips",8,"0.347","0.342","0.944","0.603",0,"-3.626","130.035","I've Seen Footage"
"Honey Claws",9,"0.237","0.571","0.603","0.836",0,"-7.792","99.994","Digital Animal"
"The Avalanches",10,"0.0548","0.649","0.855","0.525","0.0143","-7.372","111.951","Subways - In Flagranti Extended Edit"
"Modern Folk Üçlüsü",11,"0.0494","0.212","0.748","0.753","0.00348","-8.62","104.322","Donme Dolap - Baris K Edit"
"Erkin Koray",12,"0.0342","0.108","0.434","0.603","0.0619","-11.062","127.681","Cemalim"
"Lil Yachty",13,"0.114","0.103","0.476","0.762",0,"-12.686","130.007","One Night"
"PNL",14,"0.0793","0.0972","0.603","0.662",0,"-8.317","125.011","Oh lala"
"Crystal Castles",15,"0.163","0.316","0.832","0.637","0.0563","-6.637","99.988","Char"
"New Order",16,"0.0458","0.119","0.955","0.603","0.0451","-4.111","123.922","World In Motion"
"Funkadelic",17,"0.0429","0.184","0.659","0.789","0.00049","-12.654","122.415","One Nation Under a Groove"
"Chief Keef",18,"0.241","0.117","0.611","0.713",0,"-6.702","140.061","Bouncin"
"Le Youth",19,"0.0449","0.0966","0.759","0.735","0.185","-6.914","109.982","C O O L - Radio Edit"
"Cajmere",20,"0.0655","0.428","0.719","0.854","0.308","-9.335","128.049","Percolator (Jamie Jones Vault Mix) - mixed"
"The Rapture",21,"0.0323","0.0995","0.74","0.747","0.369","-4.134","130.031","House of Jealous Lovers"
"Young Thug",22,"0.395","0.527","0.401","0.854",0,"-8.553","139.922","Imma Ride"
"Ty Segall",23,"0.0834","0.0663","0.925","0.224","1.35E-06","-1.71","138.022","Girlfriend"
"Myron & E",24,"0.0316","0.133","0.564","0.512","1.54E-05","-5.892","94.498","If I Gave You My Love"
"TR/ST",25,"0.036","0.0673","0.795","0.781","0.269","-6.758","109.977","This Ready Flesh"
"A-Trak",26,"0.383","0.198","0.684","0.411","1.42E-06","-6.889","110.016","Lose My Mind"
"Crystal Castles",27,"0.134","0.316","0.837","0.646","0.0403","-6.615","100.04","Char"
"Rae Sremmurd",28,"0.0385","0.33","0.572","0.782",0,"-7.467","120.021","Look Alive"
"Father",29,"0.102","0.0811","0.4","0.735","0.125","-12.766","129.004","Please Stop Making Fake Versace"
"2milly",30,"0.156","0.173","0.449","0.45",0,"-12.037","135.45","Milly Rock"
"Ty Dolla $ign",31,"0.0534","0.159","0.642","0.897","1.31E-06","-8.828","127.984","Blasé (feat. Future & Rae Sremmurd)"
"Young Thug",32,"0.0713","0.358","0.598","0.959",0,"-5.534","127.029","Best Friend"
"Young Thug",33,"0.141","0.0987","0.559","0.742",0,"-5.876","146.923","Hercules"
"Santigold",34,"0.0458","0.0842","0.687","0.805",0,"-7.771","119.999","Who Be Lovin Me (feat. ILOVEMAKONNEN)"
"Young Thug",35,"0.323","0.183","0.581","0.667",0,"-5.164","110.953","Check"
"Three 6 Mafia",36,"0.081","0.489","0.823","0.722",0,"-3.916","148.23","Poppin' My Collar"
"Drake",37,"0.194","0.341","0.547","0.853",0,"-7.535","142.065","Jumpman"
"Beyoncé",38,"0.126","0.126","0.705","0.747",0,"-5.137","136.024",11/07/18
"Rockwell",39,"0.0327","0.126","0.591","0.777","5.50E-05","-7.431","124.111","Somebody's Watching Me"
"Disclosure",40,"0.0476","0.358","0.852","0.731","0.625","-6.08","125.008","Bang That"
"ILoveMakonnen",41,"0.164","0.333","0.402","0.76",0,"-8.751","147.028","I Don't Sell Molly No More"
"Riff Raff",42,"0.0473","0.0772","0.792","0.624","1.54E-06","-5.33","139.94","Versace Python"
"Kanye West",43,"0.242","0.525","0.683","0.621","0.00856","-5.619","124.283","Monster"
"Young M.A.",44,"0.455","0.156","0.819","0.64",0,"-4.108","166.012","OOOUUU"
"Mark Morrison",45,"0.108","0.164","0.833","0.715",0,"-5.379","95.487","Return Of The Mack - C & J Street Mix"
"William Onyeabor",46,"0.0575","0.0575","0.756","0.7","0.711","-10.714","114.28","Fantastic Man"
"Dr. John",47,"0.0456","0.144","0.494","0.789","0.000408","-13.702","104.593","Right Place Wrong Time"
"T. P. Orchestre Poly-Rythmo",48,"0.0653","0.0745","0.86","0.796","0.00457","-6.202","129.008","Azon de ma gnin kpevi"
"Ebo Taylor",49,"0.0689","0.182","0.957","0.716","0.058","-4.814","106.714","Odofo Nyi Akyiri Biara"
"Neon Indian",50,"0.0808","0.254","0.846","0.74","0.0624","-6.039","95.995","Annie"
"Future Islands",51,"0.0292","0.141","0.84","0.7","0.112","-6.227","132.475","The Chase"
"Leon Bridges",52,"0.0267","0.178","0.453","0.514","0.000181","-7.062","75.548","Coming Home"
"Beach House",53,"0.0335","0.0873","0.77","0.313","0.0787","-7.265","74.749","Wishes"
"Post Malone",54,"0.0366","0.0803","0.528","0.676",0,"-8.699","130.073","White Iverson"
